aryl_halide_number,aryl_halide_name,aryl_halide_smiles
1.0,1-chloro-4-(trifluoromethyl)benzene,FC(F)(F)c1ccc(Cl)cc1
2.0,1-bromo-4-(trifluoromethyl)benzene,FC(F)(F)c1ccc(Br)cc1
3.0,1-iodo-4-(trifluoromethyl)benzene,FC(F)(F)c1ccc(I)cc1
4.0,1-chloro-4-methoxybenzene,COc1ccc(Cl)cc1
5.0,1-bromo-4-methoxybenzene,COc1ccc(Br)cc1
6.0,1-iodo-4-methoxybenzene,COc1ccc(I)cc1
7.0,1-chloro-4-ethylbenzene,CCc1ccc(Cl)cc1
8.0,1-bromo-4-ethylbenzene,CCc1ccc(Br)cc1
9.0,1-ethyl-4-iodobenzene,CCc1ccc(I)cc1
10.0,2-chloropyridine,Clc1ccccn1
11.0,2-bromopyridine,Brc1ccccn1
12.0,2-iodopyridine,Ic1ccccn1
13.0,3-chloropyridine,Clc1cccnc1
14.0,3-bromopyridine,Brc1cccnc1
15.0,3-iodopyridine,Ic1cccnc1