L2NiF2,ee,ΔΔG‡,HOMO,LUMO,softness,Dipole,Pol,Torsion,VBur,B1,B5,BL,VolNi,Volavg X,NBOC1,NBON1,NBOC2,NBOC3,NBOX,NBOC4,νCNssy,iCNssy,νCNsas,iCNsas
L9,65,0.92,-0.349,-0.048,5.04,7.88,125,19.45,33.8,1.87,6.89,3.41,0.61,0.498,0.519,-0.479,-0.1,-0.09,-0.438,-0.602,1759,24.02,1763,135.74
L10,64,0.9,-0.343,-0.045,5.15,7.55,249.4,18.23,34.1,2.58,12.1,5.47,0.609,0.498,0.52,-0.477,-0.097,-0.095,-0.44,-0.392,1765,103.55,1760,50.52
L2,88,1.63,-0.343,-0.05,5.09,6.76,171.8,0.24,42.8,2.71,7.62,4.56,0.67,0.52,0.526,-0.482,-0.084,-0.092,-0.437,-0.212,1769,124.98,1763,19.54
L11,66,0.94,-0.34,-0.047,5.16,7.1,195.5,8.08,37.2,2.9,6.57,5.58,0.631,0.527,0.526,-0.48,-0.095,-0.095,-0.44,-0.391,1769,107.3,1764,39.07
L12,89,1.68,-0.343,-0.046,5.14,6.84,197.2,16.57,43,2.69,8.4,5.48,0.678,0.498,0.524,-0.48,-0.091,-0.092,-0.438,-0.207,1766,136.16,1763,33.62
L3,90,1.74,-0.336,-0.047,5.23,6.55,267.9,1.25,52.3,3.11,9.72,6.46,0.741,0.521,0.527,-0.479,-0.083,-0.092,-0.439,-0.207,1769,89.31,1754,62.2
L13,76,1.18,-0.346,-0.047,5.08,7.26,166.2,18.55,39,2.7,8.15,4.54,0.636,0.495,0.52,-0.479,-0.095,-0.086,-0.439,-0.249,1759,142.33,1757,27.95
L14,87,1.58,-0.34,-0.044,5.2,6.6,236,17.52,42.5,2.97,9.18,6.58,0.673,0.497,0.524,-0.48,-0.09,-0.091,-0.439,-0.21,1765,133.09,1762,39.58
L15,73,1.1,-0.312,-0.053,5.48,7.13,233,14.92,40.5,1.87,9.01,6.77,0.652,0.5,0.519,-0.474,-0.111,-0.087,-0.436,-0.046,1761,125.67,1758,40.22
L1,59,0.8,-0.297,-0.046,5.82,6.37,254.5,12.44,48.9,3.25,9.51,5.15,0.706,0.518,0.522,-0.469,-0.088,-0.09,-0.439,-0.415,1773,115.42,1758,56.58
L16,62,0.86,-0.266,-0.043,6.47,4.91,293.2,12.47,50.2,3.19,10.34,5.38,0.715,0.498,0.521,-0.467,-0.089,-0.09,-0.44,-0.41,1773,120.51,1758,50.86
L17,62,0.86,-0.283,-0.045,6.1,6.03,282.6,11.61,50.2,3.2,9.7,5.75,0.713,0.498,0.521,-0.467,-0.088,-0.09,-0.439,-0.413,1773,121.56,1759,52.51
L18,57,0.77,-0.295,-0.048,5.83,5.51,373.2,19.39,34.2,3.11,13.48,8.07,0.613,0.496,0.523,-0.485,-0.087,-0.092,-0.438,-0.415,1756,119.38,1754,41.93
L19,62,0.86,-0.343,-0.068,4.86,7.2,297.6,20.2,34.7,3.1,12.48,5.59,0.617,0.494,0.526,-0.488,-0.087,-0.093,-0.433,-0.426,1752,119.9,1752,44.32
L20,63,0.88,-0.264,-0.04,6.57,5.22,286.7,12.34,51.8,3.22,9.29,5.23,0.724,0.5,0.521,-0.475,-0.094,-0.089,-0.44,-0.412,1771,108.62,1762,62.8
L21,50,0.65,-0.261,-0.032,6.82,6.11,328.8,20.42,54.9,4.04,9.66,6.32,0.742,0.508,0.536,-0.474,-0.081,-0.091,-0.44,-0.429,1769,147.37,1762,31.3
L22,59,0.8,-0.271,-0.049,6.23,7.65,355.5,12.04,37.9,3.11,8.05,6.27,0.633,0.528,0.532,-0.49,-0.088,-0.094,-0.433,-0.418,1762,88.07,1755,56.44
L23,64,0.9,-0.255,-0.047,6.62,9.07,314.7,8.95,38.5,1.9,12.76,5.8,0.636,0.52,0.531,-0.491,-0.088,-0.094,-0.434,-0.413,1763,86.98,1755,58.23
L24,55,0.73,-0.256,-0.058,6.37,7.15,337.7,13.81,38.8,1.93,11.43,5.44,0.642,0.537,0.527,-0.485,-0.096,-0.096,-0.435,-0.391,1765,108.31,1759,48.31
L25,53,0.7,-0.292,-0.045,5.94,4.9,381,1.21,66.4,3.15,9.21,6.12,0.821,0.507,0.528,-0.471,-0.078,-0.09,-0.438,-0.253,1763,88.79,1772,80.29
L6,89,1.68,-0.282,-0.042,6.18,11.38,406.2,20.51,47.1,2.42,9.26,4.58,0.702,0.813,0.431,-0.496,-0.062,-0.215,-0.423,-0.207,1697,208.43,1706,31.66
L7,85,1.49,-0.286,-0.045,6.05,10.94,309.3,20.11,47,1.91,8.29,4.58,0.702,0.81,0.429,-0.493,-0.062,-0.217,-0.424,-0.207,1697,225.65,1707,25.43
L8,75,1.15,-0.299,-0.058,5.59,8.44,334,20.58,46.8,1.98,8.73,4.59,0.7,0.815,0.425,-0.483,-0.062,-0.218,-0.427,-0.208,1702,208.68,1712,21.59
L26,85,1.49,-0.281,-0.041,6.22,12.09,411.8,19.46,47.1,1.91,10.49,4.58,0.704,0.808,0.43,-0.496,-0.062,-0.216,-0.422,-0.207,1693,250.96,1705,28.68
L27,84,1.45,-0.3,-0.053,5.66,5.08,339.2,30.66,42.9,2.16,9.71,4.61,0.671,0.784,0.445,-0.503,-0.065,-0.22,-0.421,-0.218,1693,32.25,1713,91.42
L28,75,1.15,-0.305,-0.036,5.86,11.31,201.8,8.03,41.3,2.73,7.7,4.57,0.66,0.692,0.408,-0.487,-0.055,-0.224,-0.403,-0.214,1772,138.28,1759,42.75
L29,86,1.53,-0.298,-0.033,6.04,10.47,331.3,5.22,44.2,2.72,8.48,4.55,0.679,0.78,0.422,-0.508,-0.055,-0.224,-0.402,-0.213,1762,159.49,1748,71.7
L4,87,1.58,-0.298,-0.039,5.93,11.62,214.26,2.52,46.1,2.7,7.37,4.55,0.696,0.696,0.421,-0.485,-0.065,-0.219,-0.407,-0.21,1688,187.31,1710,16.98
L5,90,1.74,-0.296,-0.038,5.98,11.72,237.95,4.24,45.9,2.7,7.28,4.55,0.696,0.734,0.423,-0.489,-0.064,-0.216,-0.409,-0.21,1688,206.93,1710,22.94