ligand_smiles,index,ee
C[C@@H](CO1)N=C1C2=N[C@@H](C)CO2,L9,65
CCCCCC[C@@H](CO1)N=C1C2=N[C@@H](CCCCCC)CO2,L10,64
CC(C)[C@@H](CO1)N=C1C2=N[C@@H](C(C)C)CO2,L2,88
CC(C)C[C@H]1COC(C2=N[C@@H](CC(C)C)CO2)=N1,L11,66
CC[C@H](C)[C@H]1COC(C2=N[C@@H]([C@@H](C)CC)CO2)=N1,L12,89
CCCC(CCC)[C@@H](CO1)N=C1C2=N[C@@H](C(CCC)CCC)CO2,L3,90
[C@H]1(C2CC2)COC(C3=N[C@@H](C4CC4)CO3)=N1,L13,76
[C@H]1(C2CCCCC2)COC(C3=N[C@@H](C4CCCCC4)CO3)=N1,L14,87
[C@H]1(C2=CC=CC=C2)COC(C3=N[C@@H](C4=CC=CC=C4)CO3)=N1,L15,73
[C@H]1(CC2=CC=CC=C2)COC(C3=N[C@@H](CC4=CC=CC=C4)CO3)=N1,L1,59
COC(C=C1)=CC=C1C[C@@H](CO2)N=C2C3=N[C@@H](CC4=CC=C(OC)C=C4)CO3,L16,62
CC(C=C1)=CC=C1C[C@@H](CO2)N=C2C3=N[C@@H](CC4=CC=C(C)C=C4)CO3,L17,62
O=[N+](C(C=C1)=CC=C1C[C@@H](CO2)N=C2C3=N[C@@H](CC4=CC=C([N+]([O-])=O)C=C4)CO3)[O-],L18,62
CC(C)(C)OC(C=C1)=CC=C1C[C@@H](CO2)N=C2C3=N[C@@H](CC4=CC=C(OC(C)(C)C)C=C4)CO3,L19,57
COC(C=CC=C1)=C1C[C@@H](CO2)N=C2C3=N[C@@H](CC4=CC=CC=C4OC)CO3,L20,63
COC1=CC(C[C@@H](CO2)N=C2C3=N[C@@H](CC4=CC(OC)=CC(OC)=C4)CO3)=CC(OC)=C1,L21,53
[C@H]1(CC2=CC(C=CC=C3)=C3C=C2)COC(C4=N[C@@H](CC5=CC=C(C=CC=C6)C6=C5)CO4)=N1,L22,59
[C@H]1(CC2=CNC3=C2C=CC=C3)COC(C4=N[C@@H](CC5=CNC6=C5C=CC=C6)CO4)=N1,L23,64
[C@H]1(CC2=CSC3=C2C=CC=C3)COC(C4=N[C@@H](CC5=CSC6=C5C=CC=C6)CO4)=N1,L24,55
[C@H]1(C(C2=CC=CC=C2)C3=CC=CC=C3)COC(C4=N[C@@H](C(C5=CC=CC=C5)C6=CC=CC=C6)CO4)=N1,L25,53
CC(C)[C@@H](CN1C2=CC(C(C)(C)C)=CC=C2)N=C1C3=N[C@@H](C(C)C)CN3C4=CC=CC(C(C)(C)C)=C4,L6,89
CC(C)[C@@H](CN1C2=CC=CC=C2)N=C1C3=N[C@@H](C(C)C)CN3C4=CC=CC=C4,L7,85
CC(C)[C@@H](CN1C2=CC(C(F)(F)F)=CC=C2)N=C1C3=N[C@@H](C(C)C)CN3C4=CC=CC(C(F)(F)F)=C4,L8,75
CC(C)[C@@H](CN1C2=CC=C(C(C)(C)C)C=C2)N=C1C3=N[C@@H](C(C)C)CN3C4=CC=C(C(C)(C)C)C=C4,L26,85
CC(C)[C@@H](CN1C2=CC=C(C(F)(F)F)C=C2)N=C1C3=N[C@@H](C(C)C)CN3C4=CC=C(C(F)(F)F)C=C4,L27,84
CC(C)[C@@H]1N=C2C3=N[C@@H](C(C)C)CN3CCN2C1,L28,75
CC(C)[C@@H]1N=C2C3=N[C@@H](C(C)C)CN3[C@@H](C4=CC=CC=C4)[C@H](C5=CC=CC=C5)N2C1,L29,86
CC(C)[C@@H]1N=C2C3=N[C@@H](C(C)C)CN3CCCN2C1,L4,87
CC(C)[C@@H]1N=C2C3=N[C@@H](C(C)C)CN3CC(C)(C)CN2C1,L5,90