"alcohol","base","sulfonyl.fluoride","alcohol_.C1_electrostatic_charge","alcohol_.C1_exposed_area","alcohol_electronegativity","alcohol_primary","alcohol_secondary","alcohol_tertiary","alcohol_cyclic","alcohol_4.membered_ring","alcohol_5.membered_ring","alcohol_6.membered_ring","alcohol_7.membered_ring","alcohol_benzylic","alcohol_allylic","alcohol_homobenzylic","alcohol_homoallylic","alcohol_alpha.carbonyl","alcohol_beta_carbonyl","alcohol_hemiacetal","alcohol_alpha.amino","base_.N1_exposed_area","sulfonyl_fluoride_.S1_electrostatic_charge","sulfonyl_fluoride_.F1_electrostatic_charge","sulfonyl_fluoride_.O1_electrostatic_charge","yield"
"1e","DBU","3.Cl",0.101,13.68,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.973,-0.21,-0.439,42
"1e","DBU","PyFluor",0.101,13.68,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.849,-0.198,-0.401,48
"1e","DBU","3.CF3",0.101,13.68,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.978,-0.208,-0.436,47
"1e","DBU","3.NO2",0.101,13.68,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.973,-0.204,-0.43,52
"1e","DBU","PBSF",0.101,13.68,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.926,-0.162,-0.384,52
"1e","MTBD","3.Cl",0.101,13.68,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.973,-0.21,-0.439,76
"1e","MTBD","PyFluor",0.101,13.68,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.849,-0.198,-0.401,78
"1e","MTBD","3.CF3",0.101,13.68,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.978,-0.208,-0.436,87
"1e","MTBD","3.NO2",0.101,13.68,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.973,-0.204,-0.43,82
"1e","MTBD","PBSF",0.101,13.68,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.926,-0.162,-0.384,80
"1e","BTMG","3.Cl",0.101,13.68,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.973,-0.21,-0.439,78
"1e","BTMG","PyFluor",0.101,13.68,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.849,-0.198,-0.401,79
"1e","BTMG","3.CF3",0.101,13.68,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.978,-0.208,-0.436,91
"1e","BTMG","3.NO2",0.101,13.68,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.973,-0.204,-0.43,87
"1e","BTMG","PBSF",0.101,13.68,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.926,-0.162,-0.384,84
"1e","BTPP","3.Cl",0.101,13.68,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.973,-0.21,-0.439,87
"1e","BTPP","PyFluor",0.101,13.68,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.849,-0.198,-0.401,88
"1e","BTPP","3.CF3",0.101,13.68,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.978,-0.208,-0.436,96
"1e","BTPP","3.NO2",0.101,13.68,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.973,-0.204,-0.43,83
"1e","BTPP","PBSF",0.101,13.68,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.926,-0.162,-0.384,94
"1a","DBU","3.Cl",0.474,6.211,0.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.973,-0.21,-0.439,40
"1a","DBU","PyFluor",0.474,6.211,0.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.849,-0.198,-0.401,57
"1a","DBU","3.CF3",0.474,6.211,0.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.978,-0.208,-0.436,52
"1a","DBU","3.NO2",0.474,6.211,0.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.973,-0.204,-0.43,54
"1a","DBU","PBSF",0.474,6.211,0.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.926,-0.162,-0.384,39
"1a","MTBD","3.Cl",0.474,6.211,0.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.973,-0.21,-0.439,54
"1a","MTBD","PyFluor",0.474,6.211,0.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.849,-0.198,-0.401,59
"1a","MTBD","3.CF3",0.474,6.211,0.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.978,-0.208,-0.436,69
"1a","MTBD","3.NO2",0.474,6.211,0.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.973,-0.204,-0.43,63
"1a","MTBD","PBSF",0.474,6.211,0.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.926,-0.162,-0.384,60
"1a","BTMG","3.Cl",0.474,6.211,0.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.973,-0.21,-0.439,41
"1a","BTMG","PyFluor",0.474,6.211,0.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.849,-0.198,-0.401,49
"1a","BTMG","3.CF3",0.474,6.211,0.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.978,-0.208,-0.436,57
"1a","BTMG","3.NO2",0.474,6.211,0.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.973,-0.204,-0.43,55
"1a","BTMG","PBSF",0.474,6.211,0.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.926,-0.162,-0.384,61
"1a","BTPP","3.Cl",0.474,6.211,0.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.973,-0.21,-0.439,42
"1a","BTPP","PyFluor",0.474,6.211,0.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.849,-0.198,-0.401,53
"1a","BTPP","3.CF3",0.474,6.211,0.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.978,-0.208,-0.436,60
"1a","BTPP","3.NO2",0.474,6.211,0.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.973,-0.204,-0.43,51
"1a","BTPP","PBSF",0.474,6.211,0.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.926,-0.162,-0.384,65
"1f","DBU","3.Cl",0.808,0.994,0.12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.973,-0.21,-0.439,0
"1f","DBU","PyFluor",0.808,0.994,0.12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.849,-0.198,-0.401,4
"1f","DBU","3.CF3",0.808,0.994,0.12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.978,-0.208,-0.436,2
"1f","DBU","3.NO2",0.808,0.994,0.12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.973,-0.204,-0.43,4
"1f","DBU","PBSF",0.808,0.994,0.12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.926,-0.162,-0.384,9
"1f","MTBD","3.Cl",0.808,0.994,0.12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.973,-0.21,-0.439,1
"1f","MTBD","PyFluor",0.808,0.994,0.12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.849,-0.198,-0.401,5
"1f","MTBD","3.CF3",0.808,0.994,0.12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.978,-0.208,-0.436,4
"1f","MTBD","3.NO2",0.808,0.994,0.12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.973,-0.204,-0.43,5
"1f","MTBD","PBSF",0.808,0.994,0.12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.926,-0.162,-0.384,18
"1f","BTMG","3.Cl",0.808,0.994,0.12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.973,-0.21,-0.439,0
"1f","BTMG","PyFluor",0.808,0.994,0.12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.849,-0.198,-0.401,0
"1f","BTMG","3.CF3",0.808,0.994,0.12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.978,-0.208,-0.436,0
"1f","BTMG","3.NO2",0.808,0.994,0.12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.973,-0.204,-0.43,1
"1f","BTMG","PBSF",0.808,0.994,0.12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.926,-0.162,-0.384,17
"1f","BTPP","3.Cl",0.808,0.994,0.12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.973,-0.21,-0.439,0
"1f","BTPP","PyFluor",0.808,0.994,0.12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.849,-0.198,-0.401,0
"1f","BTPP","3.CF3",0.808,0.994,0.12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.978,-0.208,-0.436,1
"1f","BTPP","3.NO2",0.808,0.994,0.12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.973,-0.204,-0.43,0
"1f","BTPP","PBSF",0.808,0.994,0.12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.926,-0.162,-0.384,22
"1g","DBU","3.Cl",0.034,13.748,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.973,-0.21,-0.439,53
"1g","DBU","PyFluor",0.034,13.748,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.849,-0.198,-0.401,63
"1g","DBU","3.CF3",0.034,13.748,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.978,-0.208,-0.436,63
"1g","DBU","3.NO2",0.034,13.748,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.973,-0.204,-0.43,65
"1g","DBU","PBSF",0.034,13.748,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.926,-0.162,-0.384,60
"1g","MTBD","3.Cl",0.034,13.748,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.973,-0.21,-0.439,88
"1g","MTBD","PyFluor",0.034,13.748,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.849,-0.198,-0.401,84
"1g","MTBD","3.CF3",0.034,13.748,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.978,-0.208,-0.436,98
"1g","MTBD","3.NO2",0.034,13.748,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.973,-0.204,-0.43,89
"1g","MTBD","PBSF",0.034,13.748,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.926,-0.162,-0.384,82
"1g","BTMG","3.Cl",0.034,13.748,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.973,-0.21,-0.439,94
"1g","BTMG","PyFluor",0.034,13.748,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.849,-0.198,-0.401,91
"1g","BTMG","3.CF3",0.034,13.748,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.978,-0.208,-0.436,106
"1g","BTMG","3.NO2",0.034,13.748,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.973,-0.204,-0.43,101
"1g","BTMG","PBSF",0.034,13.748,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.926,-0.162,-0.384,91
"1g","BTPP","3.Cl",0.034,13.748,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.973,-0.21,-0.439,94
"1g","BTPP","PyFluor",0.034,13.748,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.849,-0.198,-0.401,98
"1g","BTPP","3.CF3",0.034,13.748,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.978,-0.208,-0.436,104
"1g","BTPP","3.NO2",0.034,13.748,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.973,-0.204,-0.43,95
"1g","BTPP","PBSF",0.034,13.748,0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.926,-0.162,-0.384,94
"1h","DBU","3.Cl",0.484,6.218,0.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.973,-0.21,-0.439,53
"1h","DBU","PyFluor",0.484,6.218,0.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.849,-0.198,-0.401,68
"1h","DBU","3.CF3",0.484,6.218,0.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.978,-0.208,-0.436,71
"1h","DBU","3.NO2",0.484,6.218,0.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.973,-0.204,-0.43,74
"1h","DBU","PBSF",0.484,6.218,0.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.926,-0.162,-0.384,54
"1h","MTBD","3.Cl",0.484,6.218,0.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.973,-0.21,-0.439,52
"1h","MTBD","PyFluor",0.484,6.218,0.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.849,-0.198,-0.401,68
"1h","MTBD","3.CF3",0.484,6.218,0.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.978,-0.208,-0.436,72
"1h","MTBD","3.NO2",0.484,6.218,0.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.973,-0.204,-0.43,66
"1h","MTBD","PBSF",0.484,6.218,0.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.926,-0.162,-0.384,53
"1h","BTMG","3.Cl",0.484,6.218,0.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.973,-0.21,-0.439,49
"1h","BTMG","PyFluor",0.484,6.218,0.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.849,-0.198,-0.401,69
"1h","BTMG","3.CF3",0.484,6.218,0.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.978,-0.208,-0.436,80
"1h","BTMG","3.NO2",0.484,6.218,0.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.973,-0.204,-0.43,82
"1h","BTMG","PBSF",0.484,6.218,0.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.926,-0.162,-0.384,76
"1h","BTPP","3.Cl",0.484,6.218,0.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.973,-0.21,-0.439,48
"1h","BTPP","PyFluor",0.484,6.218,0.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.849,-0.198,-0.401,67
"1h","BTPP","3.CF3",0.484,6.218,0.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.978,-0.208,-0.436,78
"1h","BTPP","3.NO2",0.484,6.218,0.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.973,-0.204,-0.43,66
"1h","BTPP","PBSF",0.484,6.218,0.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.926,-0.162,-0.384,72
"1i","DBU","3.Cl",0,13.545,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.973,-0.21,-0.439,6
"1i","DBU","PyFluor",0,13.545,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.849,-0.198,-0.401,13
"1i","DBU","3.CF3",0,13.545,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.978,-0.208,-0.436,14
"1i","DBU","3.NO2",0,13.545,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.973,-0.204,-0.43,17
"1i","DBU","PBSF",0,13.545,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.926,-0.162,-0.384,29
"1i","MTBD","3.Cl",0,13.545,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.973,-0.21,-0.439,17
"1i","MTBD","PyFluor",0,13.545,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.849,-0.198,-0.401,26
"1i","MTBD","3.CF3",0,13.545,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.978,-0.208,-0.436,30
"1i","MTBD","3.NO2",0,13.545,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.973,-0.204,-0.43,36
"1i","MTBD","PBSF",0,13.545,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.926,-0.162,-0.384,38
"1i","BTMG","3.Cl",0,13.545,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.973,-0.21,-0.439,21
"1i","BTMG","PyFluor",0,13.545,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.849,-0.198,-0.401,31
"1i","BTMG","3.CF3",0,13.545,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.978,-0.208,-0.436,34
"1i","BTMG","3.NO2",0,13.545,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.973,-0.204,-0.43,40
"1i","BTMG","PBSF",0,13.545,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.926,-0.162,-0.384,49
"1i","BTPP","3.Cl",0,13.545,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.973,-0.21,-0.439,32
"1i","BTPP","PyFluor",0,13.545,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.849,-0.198,-0.401,38
"1i","BTPP","3.CF3",0,13.545,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.978,-0.208,-0.436,45
"1i","BTPP","3.NO2",0,13.545,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.973,-0.204,-0.43,49
"1i","BTPP","PBSF",0,13.545,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.926,-0.162,-0.384,47
"1j","DBU","3.Cl",-0.044,12.357,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.397,0.973,-0.21,-0.439,43
"1j","DBU","PyFluor",-0.044,12.357,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.397,0.849,-0.198,-0.401,54
"1j","DBU","3.CF3",-0.044,12.357,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.397,0.978,-0.208,-0.436,54
"1j","DBU","3.NO2",-0.044,12.357,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.397,0.973,-0.204,-0.43,58
"1j","DBU","PBSF",-0.044,12.357,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.397,0.926,-0.162,-0.384,52
"1j","MTBD","3.Cl",-0.044,12.357,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.069,0.973,-0.21,-0.439,72
"1j","MTBD","PyFluor",-0.044,12.357,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.069,0.849,-0.198,-0.401,74
"1j","MTBD","3.CF3",-0.044,12.357,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.069,0.978,-0.208,-0.436,80
"1j","MTBD","3.NO2",-0.044,12.357,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.069,0.973,-0.204,-0.43,77
"1j","MTBD","PBSF",-0.044,12.357,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.069,0.926,-0.162,-0.384,65
"1j","BTMG","3.Cl",-0.044,12.357,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.727,0.973,-0.21,-0.439,73
"1j","BTMG","PyFluor",-0.044,12.357,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.727,0.849,-0.198,-0.401,76
"1j","BTMG","3.CF3",-0.044,12.357,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.727,0.978,-0.208,-0.436,80
"1j","BTMG","3.NO2",-0.044,12.357,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.727,0.973,-0.204,-0.43,77
"1j","BTMG","PBSF",-0.044,12.357,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.727,0.926,-0.162,-0.384,56
"1j","BTPP","3.Cl",-0.044,12.357,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.305,0.973,-0.21,-0.439,66
"1j","BTPP","PyFluor",-0.044,12.357,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.305,0.849,-0.198,-0.401,75
"1j","BTPP","3.CF3",-0.044,12.357,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.305,0.978,-0.208,-0.436,67
"1j","BTPP","3.NO2",-0.044,12.357,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.305,0.973,-0.204,-0.43,73
"1j","BTPP","PBSF",-0.044,12.357,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.305,0.926,-0.162,-0.384,46
"1k","DBU","3.Cl",-0.043,12.177,0.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.397,0.973,-0.21,-0.439,6
"1k","DBU","PyFluor",-0.043,12.177,0.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.397,0.849,-0.198,-0.401,7
"1k","DBU","3.CF3",-0.043,12.177,0.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.397,0.978,-0.208,-0.436,8
"1k","DBU","3.NO2",-0.043,12.177,0.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.397,0.973,-0.204,-0.43,8
"1k","DBU","PBSF",-0.043,12.177,0.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.397,0.926,-0.162,-0.384,10
"1k","MTBD","3.Cl",-0.043,12.177,0.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.069,0.973,-0.21,-0.439,21
"1k","MTBD","PyFluor",-0.043,12.177,0.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.069,0.849,-0.198,-0.401,18
"1k","MTBD","3.CF3",-0.043,12.177,0.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.069,0.978,-0.208,-0.436,22
"1k","MTBD","3.NO2",-0.043,12.177,0.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.069,0.973,-0.204,-0.43,20
"1k","MTBD","PBSF",-0.043,12.177,0.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.069,0.926,-0.162,-0.384,23
"1k","BTMG","3.Cl",-0.043,12.177,0.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.727,0.973,-0.21,-0.439,26
"1k","BTMG","PyFluor",-0.043,12.177,0.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.727,0.849,-0.198,-0.401,17
"1k","BTMG","3.CF3",-0.043,12.177,0.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.727,0.978,-0.208,-0.436,28
"1k","BTMG","3.NO2",-0.043,12.177,0.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.727,0.973,-0.204,-0.43,27
"1k","BTMG","PBSF",-0.043,12.177,0.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.727,0.926,-0.162,-0.384,30
